"id_location","location_name","location_street","location_housenumber","location_houseletter","longitude","latitude","location_notes","location_photo","location_history","location_namecurrent","location_nameformer"
1,"The Albach House","Tennessee Street",1701,"","-95.23978050330838","38.95381897318093","38.95381897318093, -95.23978050330838","1701TennesseeSt.jpg","","",""
2,"The Goodrich House","Massachusetts Street",1711,"","-95.23629014563828","38.95334509586018","38.95334509586018, -95.23629014563828","",NULL,NULL,NULL
3,"Undetermined","Undetermined",NULL,"","-95.24260281414313","38.9592439733953","38.9592439733953, -95.24260281414313","",NULL,NULL,NULL
4,"Corbin Hall","W 11th St",420,"","-95.24093380125876","38.96493334974387","38.96493334974387, -95.24093380125876; 420 W 11th St, Lawrence, KS 66045","420W11St_CorbinHall.jpg","","Corbin Hall","Corbin House"
5,"Pioneer Cemetery","Irving Hill Rd",2201,"","-95.262018","38.952693","","","-Memorial to the early settlers of Lawrence, KS
-First buried: Moses Pomeroy (1854)
-Originally called “Oread Cemetery”
-Victims of Quantrill’s Raid were buried here after the attack, but later moved to “Oak Hill Cemetery"" which replaced Pioneer Cemetery as the de facto cemetery of Lawrence
-Oak Hill Cemetery established in 1865
-The final burial in Oread Cemetery was Alfred and Sarah Peake (1882)
-Later in the 1880s Oread Cemetery was desecrated by mischievous youths
-In 1906, local undertaker Charles Smith working with the Grand Army of the Republic veterans’ organization, arranged for a monument to “the Unknown Dead -Union Soldiers of the Civil War” to be erected in the cemetery, as well as burial markers for eighteen members of the Thirteenth Wisconsin Volunteer Infantry Regiment who had been interred there in 1862.
-Named Pioneer Cemetery by Lawrence mayor Robert Rankin in 1928
-KU chancellor Franklin David Murphy convinced the KU Endowment Association to purchase the land in 1952
-Psychic claimed to communicate with the spirit of a deceased soldier in the graveyard","Pioneer Cemetery","Oread Cemetery"
6,"Haskell Indian Nations University","Indian Ave, Lawrence, KS 66046",155,"E","-95.23305453221643","38.94008821539954","","","","Haskell Indian Nations University",""
7,"Miller's Hall","Massachusetts St.",NULL,"","-95.23622285841888","38.97033320653101","","723MassSt.jpg","-Named after Free Stater Josiah Miller
-One of only two buildings to survive Quantrill’s Raid
-Various sections and whole floors were added onto the building between 1856-1863
-Third floor was the de facto town hall (Elizabeth Cady Stanton, Susan B. Anthony, James Lane, John Brown had attended meetings there)
-Josiah Miller (owner/founder of the Miller Hall) was involved in a wagon incident in 1870, resulting in one of his legs being infected with gangrene. He died on July 7, 1870 after doctors amputated the leg but couldn't stop the spread","",""
8,"The Old Lawrence Community Theatre","New Hampshire St.",1501,"","-95.235015","38.957003","","","-House stood on site at 1501
-Building erected in 1948 by Church of Christ as a church (replacing old house)
-Church was sold in 1964 to the Full Gospel Christian Assembly
-By it 1970s it housed the Full Gospel Christian Assembly which dissolved in the mid 80s
-Bought by the Community Theatre in 1985 and renovated 
-First production was I Was Here a Moment Ago by local playwright John Clifford
-Fire destroyed two-thirds of the theatre’s costumes (faulty lighting fixture)
-In 2013 the Lawrence Community Theatre moved to a new building on Bauer Farm Drive in west Lawrence
-In 2014 the former theatre was converted to a church again and is now home of the Vintage Church","Vintage Church","Church of Christ // Full Gospel Christian Assembly // Lawrence Community Theatre"
9,"The C.J. Eriksen Building","Massachusetts St.",936,"","-95.235553","38.966126","","","-Constructed 1899 by Danish immigrant C.J. Eriksen (died 1925) as a furniture store
-His first wife Mathilda Eriksen (died April, 25 1905) loved the store and spent much of her time caring for the store","The Toy Store","C.J. Eriksen Furniture Store"
10,"Parmenter Hall","Eighth St.",618,"","-95.189429","38.779266","","","-Opened November 22, 1858 (oldest continually operating institution of higher learning in KS)
-Union Soldier was said to have raised the alarm on Quantill’s men who had just burned Lawrence, and was allegedly murdered as a result
-Theatre major Stuart McCoy (died August 29, 1976 in Kappa Sigma fraternity house)","","Palmyra Settlement"
